z,"Psi(0, z)","Psi(1, z)","Psi(2, z)","Psi(3, z)","Psi(4, z)","Psi(5, z)","Psi(6, z)","Psi(7, z)","E(z)"
-3.46,0.00188848,-0.00924068,0.0306374,-0.079008,0.166767,-0.29427,0.435605,-0.533188,5.9858
-3.45,0.00195487,-0.00953787,0.0315234,-0.0810109,0.170328,-0.299192,0.44046,-0.535256,5.95125
-3.44,0.00202339,-0.00984356,0.0324311,-0.0830536,0.173937,-0.304141,0.445267,-0.537159,5.9168
-3.43,0.0020941,-0.010158,0.033361,-0.0851364,0.177596,-0.309115,0.450022,-0.538891,5.88245
-3.42,0.00216706,-0.0104812,0.0343135,-0.0872597,0.181304,-0.314113,0.454721,-0.540449,5.8482
-3.41,0.00224235,-0.0108136,0.0352889,-0.0894241,0.185061,-0.319133,0.459361,-0.541828,5.81405
-3.4,0.00232001,-0.0111554,0.0362878,-0.0916298,0.188867,-0.324173,0.463938,-0.543024,5.78
-3.39,0.00240013,-0.0115067,0.0373104,-0.0938773,0.192721,-0.329231,0.468448,-0.544034,5.74605
-3.38,0.00248276,-0.0118677,0.0383573,-0.096167,0.196623,-0.334306,0.472888,-0.544853,5.7122
-3.37,0.00256799,-0.0122388,0.0394288,-0.0984992,0.200572,-0.339394,0.477253,-0.545477,5.67845
-3.36,0.00265587,-0.0126201,0.0405254,-0.100874,0.204569,-0.344495,0.48154,-0.545903,5.6448
-3.35,0.00274649,-0.0130118,0.0416475,-0.103293,0.208613,-0.349606,0.485744,-0.546125,5.61125
-3.34,0.00283991,-0.0134142,0.0427955,-0.105755,0.212703,-0.354724,0.489862,-0.546142,5.5778
-3.33,0.00293622,-0.0138276,0.0439698,-0.108261,0.216839,-0.359848,0.493889,-0.545949,5.54445
-3.32,0.00303549,-0.0142522,0.0451709,-0.110811,0.22102,-0.364975,0.497822,-0.545542,5.5112
-3.31,0.0031378,-0.0146882,0.0463992,-0.113406,0.225246,-0.370103,0.501657,-0.544918,5.47805
-3.3,0.00324324,-0.0151359,0.0476551,-0.116045,0.229516,-0.375229,0.505389,-0.544074,5.445
-3.29,0.00335188,-0.0155955,0.0489391,-0.11873,0.233829,-0.380351,0.509015,-0.543006,5.41205
-3.28,0.00346382,-0.0160674,0.0502516,-0.12146,0.238185,-0.385467,0.51253,-0.541711,5.3792
-3.27,0.00357914,-0.0165517,0.0515931,-0.124236,0.242583,-0.390573,0.515929,-0.540187,5.34645
-3.26,0.00369793,-0.0170487,0.0529639,-0.127058,0.247022,-0.395667,0.51921,-0.53843,5.3138
-3.25,0.00382028,-0.0175587,0.0543645,-0.129926,0.251501,-0.400746,0.522368,-0.536437,5.28125
-3.24,0.00394628,-0.018082,0.0557954,-0.13284,0.25602,-0.405808,0.525398,-0.534207,5.2488
-3.23,0.00407603,-0.0186189,0.0572569,-0.135801,0.260576,-0.41085,0.528297,-0.531736,5.21645
-3.22,0.00420962,-0.0191696,0.0587496,-0.138808,0.26517,-0.415868,0.53106,-0.529022,5.1842
-3.21,0.00434716,-0.0197345,0.0602738,-0.141862,0.269801,-0.42086,0.533684,-0.526063,5.15205
-3.2,0.00448874,-0.0203137,0.0618299,-0.144962,0.274466,-0.425822,0.536163,-0.522858,5.12
-3.19,0.00463447,-0.0209077,0.0634185,-0.14811,0.279166,-0.430753,0.538495,-0.519403,5.08805
-3.18,0.00478446,-0.0215167,0.0650399,-0.151305,0.283898,-0.435647,0.540675,-0.515698,5.0562
-3.17,0.0049388,-0.0221409,0.0666945,-0.154547,0.288662,-0.440503,0.542698,-0.51174,5.02445
-3.16,0.00509762,-0.0227808,0.0683828,-0.157836,0.293457,-0.445318,0.544561,-0.50753,4.9928
-3.15,0.00526101,-0.0234366,0.0701052,-0.161172,0.29828,-0.450087,0.546261,-0.503065,4.96125
-3.14,0.0054291,-0.0241086,0.0718621,-0.164555,0.30313,-0.454807,0.547792,-0.498344,4.9298
-3.13,0.005602,-0.0247972,0.0736539,-0.167986,0.308007,-0.459476,0.549151,-0.493368,4.89845
-3.12,0.00577982,-0.0255026,0.0754811,-0.171463,0.312908,-0.464089,0.550334,-0.488134,4.8672
-3.11,0.0059627,-0.0262252,0.077344,-0.174987,0.317833,-0.468644,0.551337,-0.482644,4.83605
-3.1,0.00615074,-0.0269652,0.079243,-0.178558,0.322778,-0.473136,0.552157,-0.476896,4.805
-3.09,0.00634408,-0.0277231,0.0811786,-0.182176,0.327744,-0.477563,0.55279,-0.470892,4.77405
-3.08,0.00654285,-0.0284992,0.083151,-0.18584,0.332727,-0.48192,0.553232,-0.464631,4.7432
-3.07,0.00674717,-0.0292937,0.0851608,-0.18955,0.337726,-0.486204,0.553479,-0.458113,4.71245
-3.06,0.00695717,-0.0301071,0.0872083,-0.193306,0.34274,-0.490412,0.553529,-0.45134,4.6818
-3.05,0.00717299,-0.0309396,0.0892938,-0.197108,0.347766,-0.494539,0.553378,-0.444313,4.65125
